Date,Open,High,Low,Close,Adj Close,Volume
2005-01-17,31.500000,31.910000,31.299999,31.844999,7.543048,64970
2005-01-18,31.500000,32.000000,31.500000,31.930000,7.563182,63840
2005-01-19,32.299999,32.500000,31.770000,32.259998,7.641345,623920
2005-01-20,32.900002,33.200001,32.000000,32.404999,7.675693,161410
2005-01-24,32.400002,33.740002,32.099998,32.985001,7.813076,1160320
2005-01-25,33.279999,33.650002,32.959999,33.555000,7.948091,157690
2005-01-27,33.505001,34.900002,33.505001,34.805000,8.244175,268580
2005-01-28,34.875000,35.000000,34.599998,34.799999,8.242991,648360
2005-01-31,34.799999,36.000000,34.520000,35.955002,8.516574,302960
2005-02-01,35.900002,35.970001,35.000000,35.494999,8.407613,106750
2005-02-02,35.799999,35.900002,34.700001,34.849998,8.254831,89410
2005-02-03,35.000000,35.025002,34.500000,34.730000,8.226412,87940
2005-02-04,34.599998,35.000000,34.130001,34.500000,8.171929,581710
2005-02-07,35.000000,35.990002,34.599998,34.759998,8.233514,223930
2005-02-08,34.500000,35.299999,34.174999,35.205002,8.338924,73520
2005-02-09,35.400002,35.599998,35.200001,35.494999,8.407613,128460
2005-02-10,35.700001,35.700001,35.209999,35.544998,8.419456,179640
2005-02-11,35.505001,36.000000,35.500000,35.880001,8.498807,139530
2005-02-14,35.500000,36.299999,35.500000,35.994999,8.526047,189490
2005-02-15,36.000000,36.200001,36.000000,36.005001,8.528417,226380
2005-02-16,36.049999,36.200001,36.000000,36.014999,8.530786,114730
2005-02-17,36.000000,36.099998,35.750000,36.000000,8.527231,85810
2005-02-18,36.224998,36.224998,35.910000,36.000000,8.527231,135090
2005-02-21,36.084999,36.084999,35.005001,35.110001,8.316421,114320
2005-02-22,35.400002,36.180000,35.099998,36.044998,8.537889,215920
2005-02-23,35.900002,36.099998,35.410000,35.935001,8.511837,35710
2005-02-24,36.029999,36.029999,35.000000,35.599998,8.432485,366670
2005-02-25,35.240002,35.599998,35.240002,35.520000,8.413535,72760
2005-02-28,35.700001,35.825001,35.500000,35.630001,8.439590,539240
2005-03-01,35.599998,36.000000,35.500000,35.950001,8.515388,129950
2005-03-02,36.000000,36.380001,35.990002,36.270000,8.591186,256770
2005-03-03,36.294998,36.294998,35.900002,36.009998,8.529601,112970
2005-03-04,35.700001,35.845001,35.250000,35.369999,8.378004,72270
2005-03-07,35.005001,35.700001,35.005001,35.345001,8.372084,127550
2005-03-08,36.000000,36.400002,35.365002,36.189999,8.572237,450450
2005-03-09,36.400002,36.500000,35.500000,35.770000,8.472754,151750
2005-03-10,35.775002,36.000000,35.700001,35.744999,8.466832,61280
2005-03-11,36.000000,36.299999,35.500000,35.715000,8.459723,77940
2005-03-14,36.000000,36.599998,35.900002,36.230000,8.581710,250410
2005-03-15,36.490002,37.689999,36.305000,37.334999,8.843451,287480
2005-03-16,37.900002,37.970001,37.314999,37.619999,8.910959,122590
2005-03-17,38.000000,39.400002,37.599998,39.084999,9.257967,248210
2005-03-18,38.990002,39.400002,38.599998,39.165001,9.276919,355030
2005-03-21,39.049999,39.500000,39.049999,39.139999,9.270997,114490
2005-03-22,39.099998,39.349998,39.000000,39.130001,9.268629,3115350
2005-03-23,39.099998,39.310001,39.000000,39.105000,9.262705,745200
2005-03-24,39.099998,39.299999,39.000000,39.099998,9.261521,536540
2005-03-28,39.099998,39.299999,38.904999,39.099998,9.261521,266880
2005-03-29,39.000000,39.200001,38.299999,38.860001,9.204673,1038780
2005-03-30,36.500000,39.200001,36.500000,39.044998,9.248495,331860
2005-03-31,38.599998,39.200001,38.599998,39.110001,9.263888,151350
2005-04-01,39.500000,40.099998,39.150002,39.299999,9.308895,283040
2005-04-04,39.150002,39.400002,39.099998,39.099998,9.261521,132930
2005-04-05,39.799999,39.799999,39.049999,39.099998,9.261521,1016930
2005-04-06,39.099998,39.250000,39.099998,39.099998,9.261521,26570
2005-04-07,39.150002,39.250000,39.099998,39.119999,9.266259,11490
2005-04-08,39.125000,39.700001,38.799999,39.514999,9.359820,53250
2005-04-11,39.224998,39.494999,39.099998,39.125000,9.267444,19530
2005-04-12,39.105000,39.200001,39.000000,39.095001,9.260335,169550
2005-04-13,39.115002,39.369999,39.049999,39.205002,9.286396,33790
2005-04-15,39.099998,39.500000,38.705002,39.049999,9.249681,279770
2005-04-18,39.099998,39.299999,38.924999,39.205002,9.286396,102120
2005-04-19,39.299999,39.395000,39.025002,39.119999,9.266259,49050
2005-04-20,39.299999,39.299999,39.099998,39.099998,9.261521,216770
2005-04-21,39.099998,39.299999,39.099998,39.195000,9.284023,28930
2005-04-22,39.200001,39.250000,39.099998,39.130001,9.268629,17530
2005-04-25,39.000000,40.000000,39.000000,39.090000,9.259153,188840
2005-04-26,39.099998,39.400002,38.700001,38.935001,9.222439,42290
2005-04-27,38.505001,38.900002,37.000000,38.270000,9.064923,22830
2005-04-28,38.299999,38.299999,36.220001,36.855000,8.729753,44260
2005-04-29,37.000000,37.500000,36.720001,37.160000,8.801997,20700
2005-05-02,37.099998,37.799999,36.810001,37.055000,8.777126,36940
2005-05-03,37.099998,38.099998,37.000000,37.715000,8.933460,19960
2005-05-04,37.990002,38.000000,37.299999,37.980000,8.996232,934200
2005-05-05,38.250000,38.250000,37.299999,37.590000,8.903850,29140
2005-05-06,37.125000,37.900002,37.125000,37.775002,8.947672,111080
2005-05-09,38.189999,38.205002,38.000000,38.014999,9.004520,391010
2005-05-10,38.599998,38.599998,37.799999,38.020000,9.005704,109170
2005-05-11,39.000000,39.500000,37.500000,38.634998,9.151377,286950
2005-05-12,39.000000,39.000000,37.799999,37.994999,8.999783,81550
2005-05-13,38.099998,38.970001,38.099998,38.634998,9.151377,3178520
2005-05-16,38.794998,39.099998,38.400002,39.040001,9.247312,887750
2005-05-17,38.799999,39.705002,38.500000,39.494999,9.355083,74430
2005-05-18,39.000000,39.299999,38.660000,38.860001,9.204673,12220
